# Sim1-Brhammaputra (Up to date)
# 220 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (31.2 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.107,15.867,15.867,29.454,31.545,-3.601,4.865,5.372,1.028e-4,5.372,89.999,11.293,3.271,28.61,-80.6,1.31,0,-20.78,0.006,65.047,89.999,2007.915,47.854,0.197,0.002,9.792,78.36,62.527,2.078,15.287,0.777,1.239,0.451,0.308,0.022,0.121,0.453,0.262,0.6,1.238e-4,0,0,0,0,-0.056,1.602,90,30.874,1012.481,0.001,350.008,0.092,2.254e6,7.62,45.604,0.019,0.511,0.004
1.126,16.426,16.426,29.349,31.463,-7.43,7.597,5.587,1.098e-4,5.587,89.999,11.339,1.582,28.61,-80.6,1.545,0,-20.035,0.005,64.659,89.999,2007.818,47.757,0.197,0.002,9.792,78.245,62.524,2.063,6.887,0.35,1.236,0.451,0.308,0.022,0.121,0.454,0.311,0.693,3.733e-4,0,0,0,0,-0.052,1.603,90,30.869,1012.419,0.001,350.006,0.092,2.249e6,7.62,45.604,0.012,0.516,0.004
1.138,16.778,16.778,29.25,31.377,-9.035,9.077,5.723,1.144e-4,5.723,89.999,11.354,0.868,28.61,-80.6,1.685,0,-19.513,0.005,64.421,89.999,2007.79,47.729,0.197,0.002,9.792,78.177,62.524,2.054,3.36,0.171,1.231,0.451,0.308,0.022,0.121,0.455,0.341,0.749,3.209e-5,0,0,0,0,-0.05,1.604,90,30.867,1012.379,0.001,350.004,0.091,2.243e6,7.62,45.604,0.019,0.521,0.004
1.157,17.332,17.332,29.07,31.213,-9.965,9.977,5.939,1.218e-4,5.939,89.999,11.367,0.489,28.61,-80.6,1.909,0,-18.614,0.005,64.059,89.999,2007.769,47.708,0.197,0.002,9.792,78.07,62.523,2.04,1.344,0.068,1.221,0.451,0.308,0.022,0.121,0.456,0.388,0.837,1.525e-4,0,0,0,0,-0.046,1.595,90,30.862,1012.318,0.001,350.001,0.091,2.231e6,7.62,45.604,0.023,0.526,0.004
1.18,17.998,17.998,28.834,30.997,-10.519,10.523,6.201,1.312e-4,6.201,89.999,11.376,0.295,28.61,-80.6,2.186,0,-17.401,0.004,63.645,89.999,2007.761,47.7,0.197,0.002,9.792,77.94,62.523,2.023,0.168,0.009,1.207,0.451,0.308,0.022,0.121,0.457,0.448,0.947,-4.866e-4,0,0,0,0,-0.04,1.564,90,30.857,1012.243,0.001,349.998,0.09,2.216e6,7.62,45.604,0.012,0.531,0.004
# Event BURNOUT occurred at t=1.192 seconds
1.192,18.343,18.343,28.707,30.881,-10.607,10.611,6.337,1.362e-4,6.337,89.999,11.38,0.286,28.61,-80.6,2.318,0,-16.718,0.004,63.44,89.999,2007.76,47.7,0.197,0.002,9.792,77.878,62.523,2.015,0,0,1.2,0.451,0.308,0.022,0.121,0.458,0.477,0.999,-2.199e-4,0,0,0,0,-0.038,1.548,90,30.854,1012.205,0.001,349.996,0.09,2.207e6,7.62,45.604,0.018,0.544,0.004
1.21,18.858,18.858,28.516,30.705,-10.62,10.625,6.542,1.44e-4,6.542,89.999,11.385,0.318,28.61,-80.6,2.472,0,-15.643,0.004,63.148,89.998,2007.76,47.7,0.197,0.002,9.792,77.807,62.523,2.006,0,0,1.189,0.451,0.308,0.022,0.121,0.459,0.511,1.058,-4.606e-6,0,0,0,0,-0.033,1.538,90,30.85,1012.147,0.001,349.994,0.089,2.195e6,7.62,45.604,0.027,0.549,0.004
1.237,19.624,19.624,28.23,30.442,-10.63,10.636,6.849,1.561e-4,6.849,89.999,11.394,0.346,28.61,-80.6,2.631,0,-13.965,0.003,62.749,89.998,2007.76,47.7,0.197,0.002,9.792,77.735,62.523,1.996,0,0,1.172,0.451,0.308,0.022,0.121,0.459,0.546,1.118,2.655e-4,0,0,0,0,-0.027,1.543,90,30.844,1012.062,0.001,349.99,0.089,2.177e6,7.62,45.604,0.041,0.555,0.004
1.278,20.759,20.759,27.799,30.049,-10.624,10.629,7.311,1.754e-4,7.311,89.999,11.408,0.349,28.61,-80.6,2.706,0,-11.39,0.003,62.235,89.998,2007.76,47.7,0.197,0.002,9.792,77.701,62.523,1.992,0,0,1.145,0.451,0.308,0.022,0.121,0.46,0.563,1.139,-2.459e-4,0,0,0,0,-0.018,1.59,90,30.835,1011.936,0.001,349.985,0.088,2.151e6,7.62,45.604,0.05,0.559,0.004
1.328,22.135,22.135,27.268,29.565,-10.605,10.61,7.882,2.009e-4,7.882,89.999,11.425,0.337,28.61,-80.6,2.733,0,-8.307,0.002,61.743,89.998,2007.76,47.7,0.197,0.002,9.792,77.688,62.523,1.99,0,0,1.111,0.451,0.308,0.022,0.121,0.46,0.569,1.143,3.468e-4,0,0,0,0,-0.01,1.595,90,30.824,1011.782,0.001,349.978,0.086,2.118e6,7.62,45.604,0.05,0.565,0.004
1.378,23.485,23.485,26.739,29.084,-10.582,10.587,8.454,2.284e-4,8.454,89.998,11.442,0.326,28.61,-80.6,2.752,3.417e-7,-5.295,0.002,61.403,89.998,2007.76,47.7,0.197,0.002,9.792,77.679,62.523,1.989,0,0,1.074,0.451,0.308,0.022,0.121,0.46,0.573,1.144,-3.988e-4,0,0,0,0,-0.004,1.51,90,30.813,1011.632,0.001,349.972,0.085,2.082e6,7.62,45.604,0.05,0.57,0.004
1.428,24.809,24.809,26.211,28.605,-10.531,10.534,9.026,2.579e-4,9.026,89.998,11.457,0.267,28.61,-80.6,2.544,2.922e-7,-2.45,0.002,61.211,89.997,2007.76,47.7,0.197,0.002,9.792,77.774,62.523,2.001,0,0,1.035,0.45,0.308,0.021,0.121,0.459,0.527,1.056,-1.563e-4,0,0,0,0,-9.351e-4,1.466,90,30.803,1011.484,0.001,349.965,0.084,2.048e6,7.62,45.604,0.05,0.576,0.004
1.478,26.107,26.107,25.686,28.13,-10.458,10.46,9.599,2.894e-4,9.599,89.998,11.468,0.174,28.61,-80.6,2.136,4.069e-7,-0.055,0.002,61.151,89.997,2007.76,47.7,0.197,0.002,9.792,77.962,62.523,2.026,0,0,0.997,0.45,0.308,0.021,0.121,0.456,0.437,0.886,-4.721e-4,0,0,0,0,-4.802e-7,1.458,90,30.792,1011.339,0.001,349.959,0.082,2.015e6,7.62,45.604,0.05,0.582,0.004
1.528,27.378,27.378,25.165,27.657,-10.383,10.383,10.173,3.229e-4,10.173,89.998,11.474,0.077,28.61,-80.6,1.665,3.126e-7,1.829,0.002,61.197,89.997,2007.76,47.7,0.197,0.002,9.792,78.185,62.523,2.055,0,0,0.959,0.45,0.308,0.021,0.121,0.454,0.336,0.691,2.175e-4,0,0,0,0,5.567e-4,1.424,90,30.782,1011.198,0.001,349.953,0.081,1.981e6,7.62,45.604,0.05,0.588,0.004
1.578,28.623,28.623,24.648,27.188,-10.303,10.303,10.747,3.584e-4,10.747,89.998,11.476,0.031,28.61,-80.6,1.088,3.29e-7,3.163,0.001,61.324,89.997,2007.76,47.7,0.197,0.002,9.792,78.468,62.523,2.093,0,0,0.923,0.45,0.308,0.021,0.121,0.452,0.216,0.45,-1.94e-4,0,0,0,0,0.002,1.403,90,30.772,1011.059,0.001,349.947,0.079,1.948e6,7.62,45.604,0.05,0.592,0.004
1.628,29.843,29.843,24.135,26.722,-10.218,10.22,11.32,3.958e-4,11.32,89.998,11.471,0.151,28.61,-80.6,0.381,3.437e-7,3.854,6.063e-4,61.503,89.997,2007.76,47.7,0.197,0.002,9.792,78.829,62.523,2.14,0,0,0.891,0.45,0.308,0.021,0.121,0.45,0.074,0.156,-1.618e-4,0,0,0,0,0.003,1.425,90,30.763,1010.923,0.001,349.941,0.078,1.917e6,7.62,45.604,0.05,0.596,0.004
1.678,31.037,31.037,23.626,26.259,-10.139,10.143,11.894,4.352e-4,11.894,89.998,11.461,0.268,28.61,-80.6,0.374,3.508e-7,-3.855,-0.002,61.698,89.997,2007.76,47.7,0.197,0.002,9.792,78.832,62.523,2.14,0,0,0.863,0.45,0.308,0.021,0.121,0.45,0.073,0.158,4.559e-5,0,0,0,0,-0.003,1.461,90,30.753,1010.79,0.001,349.935,0.077,1.886e6,7.62,45.604,0.05,0.602,0.003
1.728,32.205,32.205,23.121,25.798,-10.057,10.065,12.466,4.766e-4,12.466,89.998,11.444,0.398,28.61,-80.6,1.218,3.371e-7,-3.184,-0.002,61.877,89.996,2007.76,47.7,0.197,0.002,9.792,78.403,62.523,2.084,0,0,0.84,0.45,0.308,0.021,0.121,0.452,0.243,0.508,4.586e-4,0,0,0,0,-0.002,1.552,90,30.744,1010.659,0.001,349.93,0.076,1.858e6,7.62,45.604,0.05,0.606,0.003
1.778,33.349,33.349,22.62,25.34,-9.992,10.004,13.038,5.198e-4,13.038,89.998,11.421,0.498,28.61,-80.6,1.89,0,-1.82,-0.002,62.004,89.996,2007.76,47.7,0.197,0.002,9.792,78.077,62.523,2.041,0,0,0.817,0.45,0.308,0.021,0.121,0.455,0.384,0.785,-2.895e-4,0,0,0,0,-6.478e-4,1.578,90,30.735,1010.532,0.001,349.924,0.075,1.827e6,7.62,45.604,0.05,0.61,0.003
1.828,34.467,34.467,22.121,24.884,-9.946,9.961,13.608,5.65e-4,13.608,89.998,11.395,0.558,28.61,-80.6,2.355,0,-0.1,-0.002,62.054,89.996,2007.76,47.7,0.197,0.002,9.792,77.859,62.523,2.013,0,0,0.792,0.45,0.308,0.021,0.121,0.457,0.485,0.976,3.949e-4,0,0,0,0,-2.038e-6,1.533,90,30.726,1010.407,0.001,349.919,0.073,1.794e6,7.62,45.604,0.05,0.615,0.003
1.878,35.561,35.561,21.625,24.43,-9.894,9.915,14.177,6.12e-4,14.177,89.998,11.365,0.633,28.61,-80.6,2.911,0,1.936,-0.002,62.009,89.996,2007.76,47.7,0.197,0.002,9.792,77.606,62.523,1.979,0,0,0.772,0.45,0.308,0.021,0.121,0.46,0.609,1.205,-4.099e-4,0,0,0,0,7.855e-4,1.578,90,30.717,1010.285,0.001,349.913,0.072,1.765e6,7.62,45.604,0.05,0.62,0.003
1.928,36.63,36.63,21.132,23.978,-9.857,9.88,14.745,6.609e-4,14.745,89.997,11.332,0.676,28.61,-80.6,3.301,0,4.331,-0.002,61.854,89.996,2007.76,47.7,0.197,0.002,9.792,77.434,62.523,1.957,0,0,0.75,0.45,0.308,0.021,0.121,0.463,0.698,1.362,-8.479e-5,0,0,0,0,0.004,1.591,90,30.709,1010.166,0.001,349.908,0.071,1.734e6,7.62,45.604,0.05,0.624,0.003
1.978,37.674,37.674,20.639,23.529,-9.837,9.86,15.311,7.116e-4,15.311,89.997,11.298,0.681,28.61,-80.6,3.486,0,6.792,-0.002,61.576,89.995,2007.76,47.7,0.197,0.002,9.792,77.354,62.523,1.946,0,0,0.725,0.45,0.308,0.021,0.121,0.464,0.741,1.432,-2.714e-4,0,0,0,0,0.01,1.554,90,30.7,1010.05,0.001,349.903,0.069,1.702e6,7.62,45.604,0.05,0.628,0.003
2.028,38.694,38.694,20.148,23.083,-9.807,9.832,15.875,7.641e-4,15.875,89.997,11.264,0.707,28.61,-80.6,3.788,0,9.298,-0.002,61.174,89.995,2007.76,47.7,0.197,0.002,9.792,77.224,62.523,1.929,0,0,0.705,0.45,0.308,0.021,0.121,0.467,0.812,1.546,3.347e-4,0,0,0,0,0.02,1.629,90,30.692,1009.936,0.001,349.898,0.068,1.675e6,7.62,45.604,0.05,0.633,0.003
2.078,39.689,39.689,19.658,22.639,-9.793,9.818,16.437,8.185e-4,16.437,89.997,11.228,0.696,28.61,-80.6,3.876,-3.666e-7,11.921,-0.002,60.643,89.995,2007.76,47.7,0.197,0.002,9.792,77.187,62.523,1.924,0,0,0.682,0.45,0.308,0.021,0.121,0.467,0.833,1.568,3.109e-4,0,0,0,0,0.034,1.652,90,30.684,1009.825,0.001,349.894,0.067,1.645e6,7.62,45.604,0.05,0.638,0.003
2.128,40.66,40.66,19.169,22.198,-9.801,9.821,16.997,8.746e-4,16.997,89.997,11.195,0.64,28.61,-80.6,3.679,-3.701e-7,14.332,-0.001,59.986,89.995,2007.76,47.7,0.197,0.002,9.792,77.27,62.523,1.935,0,0,0.653,0.45,0.308,0.021,0.121,0.466,0.786,1.47,3.176e-4,0,0,0,0,0.052,1.586,90,30.677,1009.717,0.001,349.889,0.066,1.613e6,7.62,45.604,0.05,0.642,0.003
2.178,41.606,41.606,18.678,21.76,-9.814,9.831,17.556,9.326e-4,17.556,89.997,11.164,0.574,28.61,-80.6,3.38,-4.366e-7,16.475,-8.866e-4,59.214,89.995,2007.76,47.7,0.197,0.002,9.792,77.399,62.523,1.952,0,0,0.623,0.45,0.308,0.021,0.121,0.463,0.717,1.328,6.153e-6,0,0,0,0,0.071,1.513,90,30.669,1009.611,0.001,349.884,0.065,1.58e6,7.62,45.604,0.05,0.646,0.003
2.228,42.528,42.528,18.187,21.326,-9.817,9.832,18.114,9.924e-4,18.114,89.997,11.137,0.532,28.61,-80.6,3.218,0,18.32,-7.85e-4,58.344,89.995,2007.76,47.7,0.197,0.002,9.792,77.469,62.523,1.961,0,0,0.599,0.449,0.308,0.021,0.121,0.462,0.679,1.241,-1.137e-4,0,0,0,0,0.091,1.539,90,30.662,1009.508,0.001,349.88,0.063,1.552e6,7.62,45.604,0.05,0.649,0.003
2.278,43.425,43.425,17.696,20.895,-9.824,9.836,18.67,0.001,18.67,89.997,11.111,0.486,28.61,-80.6,2.994,0,20.031,-6.006e-4,57.384,89.995,2007.76,47.7,0.197,0.002,9.792,77.568,62.523,1.974,0,0,0.576,0.449,0.308,0.021,0.121,0.46,0.628,1.127,2.676e-4,0,0,0,0,0.113,1.563,90,30.655,1009.408,0.001,349.876,0.062,1.523e6,7.62,45.604,0.05,0.652,0.003
2.327,44.297,44.297,17.205,20.468,-9.841,9.85,19.225,0.001,19.225,89.997,11.088,0.426,28.61,-80.6,2.629,-2.948e-7,21.439,-4.443e-4,56.346,89.994,2007.76,47.7,0.197,0.002,9.792,77.732,62.523,1.996,0,0,0.551,0.449,0.308,0.021,0.12,0.458,0.546,0.955,-3.623e-4,0,0,0,0,0.134,1.542,90,30.648,1009.311,0.001,349.871,0.061,1.494e6,7.62,45.604,0.05,0.655,0.003
2.377,45.145,45.145,16.712,20.045,-9.845,9.853,19.779,0.001,19.779,89.997,11.068,0.391,28.61,-80.6,2.428,0,22.603,8.066e-6,55.244,89.994,2007.76,47.7,0.197,0.002,9.792,77.823,62.523,2.008,0,0,0.53,0.449,0.308,0.021,0.12,0.457,0.501,0.852,9.013e-5,0,0,0,0,0.155,1.61,90,30.641,1009.217,0.001,349.867,0.06,1.468e6,7.62,45.604,0.05,0.659,0.003
2.427,45.968,45.968,16.22,19.626,-9.86,9.866,20.332,0.001,20.332,89.996,11.05,0.341,28.61,-80.6,2.071,0,23.612,0.001,54.088,89.994,2007.76,47.7,0.197,0.002,9.792,77.989,62.523,2.03,0,0,0.508,0.449,0.308,0.021,0.12,0.455,0.423,0.683,-3.336e-4,0,0,0,0,0.175,1.615,90,30.634,1009.125,0.001,349.863,0.059,1.44e6,7.62,45.604,0.05,0.662,0.003
2.477,46.767,46.767,15.726,19.211,-9.877,9.881,20.884,0.001,20.884,89.996,11.034,0.293,28.61,-80.6,1.682,0,24.309,0.003,52.889,89.994,2007.76,47.7,0.197,0.002,9.792,78.174,62.523,2.054,0,0,0.486,0.449,0.308,0.021,0.12,0.453,0.34,0.505,-2.758e-4,0,0,0,0,0.193,1.607,90,30.628,1009.036,0.001,349.859,0.058,1.412e6,7.62,45.604,0.05,0.667,0.003
2.527,47.541,47.541,15.232,18.801,-9.888,9.892,21.435,0.001,21.435,89.996,11.02,0.257,28.61,-80.6,1.369,0,24.825,0.005,51.66,89.994,2007.76,47.7,0.197,0.002,9.792,78.326,62.523,2.074,0,0,0.467,0.449,0.308,0.021,0.12,0.452,0.274,0.359,-3.047e-4,0,0,0,0,0.209,1.63,90,30.622,1008.949,0.001,349.856,0.057,1.385e6,7.62,45.604,0.05,0.669,0.003
2.577,48.29,48.29,14.738,18.395,-9.91,9.912,21.986,0.001,21.986,89.996,11.008,0.21,28.61,-80.6,0.884,0,25.124,0.011,50.41,89.994,2007.76,47.7,0.197,0.002,9.792,78.568,62.523,2.106,0,0,0.446,0.449,0.308,0.02,0.12,0.45,0.174,0.144,-1.526e-4,0,0,0,0,0.224,1.567,90,30.616,1008.866,0.001,349.852,0.055,1.356e6,7.62,45.604,0.05,0.673,0.002
2.627,49.015,49.015,14.242,17.994,-9.923,9.924,22.536,0.002,22.536,89.996,10.999,0.177,28.61,-80.6,0.522,0,25.166,0.023,49.152,89.994,2007.76,47.7,0.197,0.002,9.792,78.753,62.523,2.13,0,0,0.427,0.449,0.308,0.02,0.12,0.449,0.102,-0.017,-8.783e-5,0,0,0,0,0.234,1.544,90,30.61,1008.785,0.001,349.849,0.054,1.328e6,7.62,45.604,0.05,0.676,0.002
2.677,49.714,49.714,13.745,17.599,-9.921,9.923,23.086,0.002,23.086,89.996,10.99,0.166,28.61,-80.6,0.41,0,25.114,0.033,47.895,89.994,2007.76,47.7,0.197,0.002,9.792,78.811,62.523,2.137,0,0,0.412,0.449,0.308,0.02,0.12,0.449,0.08,-0.071,-3.073e-4,0,0,0,0,0.241,1.612,90,30.605,1008.707,0.001,349.845,0.053,1.305e6,7.62,45.604,0.05,0.679,0.002
2.727,50.389,50.389,13.249,17.209,-9.919,9.921,23.635,0.002,23.635,89.996,10.982,0.156,28.61,-80.6,0.304,0,25.024,0.052,46.641,89.994,2007.76,47.7,0.197,0.002,9.792,78.866,62.523,2.145,0,0,0.397,0.449,0.308,0.02,0.12,0.449,0.059,-0.122,1.481e-5,0,0,0,0,0.248,1.663,90,30.599,1008.632,0.001,349.842,0.052,1.281e6,7.62,45.604,0.05,0.684,0.002
2.777,51.039,51.039,12.754,16.825,-9.917,9.918,24.184,0.002,24.184,89.996,10.975,0.148,28.61,-80.6,0.22,0,24.881,0.083,45.393,89.994,2007.76,47.7,0.197,0.002,9.792,78.91,62.523,2.151,0,0,0.383,0.449,0.308,0.02,0.12,0.449,0.043,-0.163,-3.662e-4,0,0,0,0,0.255,1.702,90,30.594,1008.559,0.001,349.839,0.051,1.258e6,7.62,45.604,0.05,0.687,0.002
2.827,51.665,51.665,12.258,16.448,-9.918,9.919,24.733,0.002,24.733,89.996,10.968,0.135,28.61,-80.6,0.043,0,24.731,0.514,44.153,89.994,2007.76,47.7,0.197,0.002,9.792,79.004,62.523,2.163,0,0,0.367,0.449,0.308,0.02,0.12,0.449,0.008,-0.068,-3.811e-5,0,0,0,0,0.086,1.677,90,30.589,1008.49,0.001,349.836,0.05,1.232e6,7.62,45.604,0.05,0.69,0.002
2.877,52.265,52.265,11.762,16.077,-9.918,9.919,25.281,0.002,25.281,89.996,10.961,0.125,28.61,-80.6,0.093,0,-24.571,0.279,42.92,89.994,2007.76,47.7,0.197,0.002,9.792,78.977,62.523,2.159,0,0,0.352,0.449,0.308,0.02,0.12,0.449,0.018,0.224,-2.725e-4,0,0,0,0,-0.185,1.646,90,30.584,1008.423,0.001,349.833,0.049,1.206e6,7.62,45.604,0.05,0.694,0.002
2.927,52.841,52.841,11.266,15.714,-9.91,9.911,25.829,0.002,25.829,89.996,10.955,0.123,28.61,-80.6,0.081,0,-24.389,0.332,41.696,89.994,2007.76,47.7,0.197,0.002,9.792,78.984,62.523,2.16,0,0,0.338,0.449,0.308,0.02,0.12,0.449,0.016,0.195,-6.842e-5,0,0,0,0,-0.162,1.656,90,30.58,1008.359,0.001,349.83,0.048,1.183e6,7.62,45.604,0.05,0.697,0.002
2.977,53.392,53.392,10.771,15.359,-9.898,9.899,26.377,0.002,26.377,89.995,10.949,0.126,28.61,-80.6,0.015,0,24.23,1.662,40.48,89.993,2007.76,47.7,0.197,0.002,9.792,79.019,62.523,2.165,0,0,0.326,0.449,0.308,0.02,0.12,0.449,0.003,-0.024,-2.87e-4,0,0,0,0,0.03,1.678,90,30.575,1008.297,0.001,349.828,0.047,1.161e6,7.62,45.604,0.05,0.706,0.002
3.027,53.918,53.918,10.276,15.011,-9.886,9.887,26.924,0.002,26.924,89.995,10.942,0.127,28.61,-80.6,0.113,-2.881e-7,24.184,0.205,39.267,89.993,2007.76,47.7,0.197,0.002,9.792,78.966,62.523,2.158,0,0,0.313,0.449,0.308,0.02,0.12,0.449,0.022,-0.18,-1.308e-5,0,0,0,0,0.226,1.678,90,30.571,1008.238,0.001,349.825,0.047,1.138e6,7.62,45.604,0.05,0.71,0.002
3.077,54.419,54.419,9.782,14.673,-9.871,9.872,27.471,0.002,27.471,89.995,10.936,0.131,28.61,-80.6,0.288,-2.9e-7,24.022,0.08,38.062,89.993,2007.76,47.7,0.197,0.002,9.792,78.874,62.523,2.146,0,0,0.302,0.449,0.308,0.02,0.12,0.449,0.056,-0.182,-3.121e-5,0,0,0,0,0.301,1.687,90,30.567,1008.183,0.001,349.823,0.046,1.117e6,7.62,45.604,0.05,0.714,0.002
3.127,54.896,54.896,9.289,14.344,-9.848,9.849,28.017,0.002,28.017,89.995,10.929,0.142,28.61,-80.6,0.64,-2.886e-7,23.934,0.036,36.864,89.993,2007.76,47.7,0.197,0.002,9.792,78.691,62.523,2.122,0,0,0.293,0.449,0.308,0.02,0.12,0.449,0.125,-0.042,-5.17e-5,0,0,0,0,0.309,1.752,90,30.563,1008.129,0.001,349.82,0.045,1.099e6,7.62,45.604,0.05,0.718,0.002
3.177,55.348,55.348,8.797,14.024,-9.826,9.828,28.564,0.002,28.564,89.995,10.922,0.151,28.61,-80.6,0.977,-2.891e-7,23.957,0.024,35.667,89.993,2007.76,47.7,0.197,0.002,9.792,78.52,62.523,2.099,0,0,0.283,0.449,0.308,0.02,0.12,0.45,0.193,0.086,-7.449e-5,0,0,0,0,0.32,1.788,90,30.56,1008.079,0.001,349.818,0.044,1.081e6,7.62,45.604,0.05,0.722,0.002
3.227,55.776,55.776,8.307,13.716,-9.809,9.81,29.11,0.003,29.11,89.995,10.914,0.156,28.61,-80.6,1.245,-2.897e-7,24.05,0.019,34.467,89.993,2007.76,47.7,0.197,0.002,9.792,78.386,62.523,2.082,0,0,0.273,0.449,0.308,0.02,0.12,0.451,0.248,0.182,-2.705e-5,0,0,0,0,0.335,1.769,90,30.556,1008.031,0.001,349.816,0.043,1.06e6,7.62,45.604,0.05,0.727,0.002
3.277,56.179,56.179,7.817,13.418,-9.794,9.796,29.655,0.003,29.655,89.995,10.906,0.156,28.61,-80.6,1.457,-2.875e-7,24.197,0.018,33.261,89.993,2007.76,47.7,0.197,0.002,9.792,78.282,62.523,2.068,0,0,0.262,0.448,0.308,0.02,0.12,0.451,0.292,0.25,4.37e-4,0,0,0,0,0.354,1.699,90,30.553,1007.986,0.001,349.814,0.042,1.037e6,7.62,45.604,0.05,0.731,0.002
3.327,56.558,56.558,7.327,13.133,-9.775,9.776,30.2,0.003,30.2,89.995,10.898,0.161,28.61,-80.6,1.788,0,24.381,0.015,32.047,89.992,2007.76,47.7,0.197,0.002,9.792,78.122,62.523,2.047,0,0,0.252,0.448,0.308,0.02,0.12,0.453,0.362,0.368,3.415e-4,0,0,0,0,0.374,1.662,90,30.55,1007.944,0.001,349.812,0.042,1.017e6,7.62,45.604,0.05,0.736,0.002
3.377,56.912,56.912,6.839,12.86,-9.752,9.753,30.745,0.003,30.745,89.995,10.89,0.168,28.61,-80.6,2.211,-2.964e-7,24.654,0.012,30.821,89.992,2007.76,47.7,0.197,0.002,9.792,77.922,62.523,2.021,0,0,0.244,0.448,0.308,0.02,0.12,0.455,0.453,0.52,-3.925e-4,0,0,0,0,0.397,1.648,90,30.547,1007.905,0.001,349.811,0.041,9.988e5,7.62,45.604,0.05,0.74,0.002
3.427,57.242,57.242,6.352,12.6,-9.73,9.731,31.289,0.003,31.289,89.995,10.882,0.172,28.61,-80.6,2.617,-2.889e-7,24.999,0.011,29.58,89.992,2007.76,47.7,0.197,0.002,9.792,77.735,62.523,1.996,0,0,0.236,0.448,0.308,0.02,0.12,0.457,0.543,0.66,-4.856e-5,0,0,0,0,0.424,1.605,90,30.545,1007.868,0.001,349.809,0.04,9.797e5,7.62,45.604,0.05,0.745,0.002
3.477,57.547,57.547,5.866,12.354,-9.701,9.703,31.833,0.003,31.833,89.995,10.873,0.181,28.61,-80.6,3.162,-2.922e-7,25.419,0.009,28.32,89.992,2007.76,47.7,0.197,0.002,9.792,77.491,62.523,1.964,0,0,0.231,0.448,0.308,0.02,0.12,0.461,0.666,0.857,-4.236e-4,0,0,0,0,0.452,1.617,90,30.542,1007.834,0.001,349.807,0.039,9.649e5,7.62,45.604,0.05,0.75,0.002
3.527,57.828,57.828,5.382,12.124,-9.663,9.665,32.377,0.003,32.377,89.994,10.863,0.196,28.61,-80.6,3.881,-2.94e-7,25.961,0.006,27.036,89.992,2007.76,47.7,0.197,0.002,9.792,77.182,62.523,1.924,0,0,0.23,0.448,0.308,0.02,0.12,0.466,0.834,1.125,1.791e-5,0,0,0,0,0.479,1.721,90,30.54,1007.802,0.001,349.806,0.039,9.571e5,7.62,45.604,0.05,0.753,0.002
3.577,58.085,58.085,4.9,11.908,-9.624,9.626,32.919,0.003,32.919,89.994,10.853,0.209,28.61,-80.6,4.58,-2.933e-7,26.647,0.005,25.721,89.992,2007.76,47.7,0.197,0.002,9.792,76.893,62.523,1.886,0,0,0.23,0.448,0.308,0.02,0.12,0.472,1.003,1.379,-2.402e-4,0,0,0,0,0.512,1.818,90,30.538,1007.774,0.001,349.805,0.039,9.5e5,7.62,45.604,0.05,0.758,0.002
3.627,58.318,58.318,4.419,11.709,-9.594,9.597,33.462,0.003,33.462,89.994,10.843,0.215,28.61,-80.6,5.138,-2.889e-7,27.438,0.004,24.37,89.992,2007.76,47.7,0.197,0.002,9.792,76.671,62.523,1.857,0,0,0.227,0.448,0.308,0.02,0.12,0.478,1.141,1.562,4.811e-4,0,0,0,0,0.557,1.826,90,30.536,1007.748,0.001,349.804,0.038,9.382e5,7.62,45.604,0.05,0.762,0.002
3.677,58.527,58.527,3.94,11.526,-9.574,9.577,34.004,0.003,34.004,89.994,10.832,0.213,28.61,-80.6,5.563,-2.884e-7,28.283,0.003,22.977,89.991,2007.76,47.7,0.197,0.002,9.792,76.507,62.523,1.835,0,0,0.22,0.448,0.308,0.02,0.12,0.482,1.25,1.679,4.919e-5,0,0,0,0,0.614,1.731,90,30.534,1007.725,0.001,349.803,0.038,9.206e5,7.62,45.604,0.05,0.766,0.002
